place,2020,2021,2022
"Monticello city, Utah","1,818","1,810","1,752"
"Morgan city, Utah","4,104","4,214","4,455"
"Moroni city, Utah","1,552","1,588","1,617"
"Mount Pleasant city, Utah","3,664","3,748","3,820"
"Murray city, Utah","50,520","49,734","49,463"
"Myton city, Utah",561,559,560
"Naples city, Utah","2,285","2,332","2,399"
"Nephi city, Utah","6,472","6,632","6,840"
"New Harmony town, Utah",238,245,245
"Newton town, Utah",791,794,815
"Nibley city, Utah","7,336","7,532","7,926"
"North Logan city, Utah","10,994","11,160","11,616"
"North Ogden city, Utah","21,037","21,490","21,855"
"North Salt Lake city, Utah","21,975","22,361","22,537"
"Oak City town, Utah",613,618,630
"Oakley city, Utah","1,596","1,606","1,599"
"Ogden city, Utah","87,292","86,639","86,825"
"Orangeville city, Utah","1,228","1,241","1,258"
"Orderville town, Utah",594,590,592
"Orem city, Utah","98,424","98,150","95,910"
"Panguitch city, Utah","1,730","1,742","1,785"
"Paradise town, Utah",978,"1,006","1,014"
"Paragonah town, Utah",542,559,568
"Park City city, Utah","8,414","8,487","8,374"
"Parowan city, Utah","3,018","3,111","3,171"
"Payson city, Utah","21,301","22,148","22,516"
"Perry city, Utah","5,587","5,751","5,828"
"Plain City city, Utah","7,887","8,126","8,321"
"Pleasant Grove city, Utah","37,738","37,938","37,630"
"Pleasant View city, Utah","11,083","11,149","11,258"
"Plymouth town, Utah",426,434,433
"Portage town, Utah",278,290,288
"Price city, Utah","8,233","8,180","8,262"
"Providence city, Utah","8,285","8,696","8,995"
"Provo city, Utah","115,102","114,903","113,523"
"Randolph town, Utah",468,484,491
"Redmond town, Utah",768,782,796
"Richfield city, Utah","8,230","8,330","8,220"
"Richmond city, Utah","2,938","2,966","2,986"
"Riverdale city, Utah","9,379","9,385","9,285"
"River Heights city, Utah","2,160","2,161","2,147"
"Riverton city, Utah","45,287","45,125","44,599"
"Rockville town, Utah",224,228,224
"Rocky Ridge town, Utah",842,937,951
"Roosevelt city, Utah","6,803","6,915","7,097"
"Roy city, Utah","39,317","39,293","38,785"
"Rush Valley town, Utah",430,466,477
"St. George city, Utah","96,032","100,180","102,519"
"Salem city, Utah","9,364","9,834","10,393"
"Salina city, Utah","2,469","2,516","2,565"
"Salt Lake City city, Utah","200,658","201,165","204,657"
"Sandy city, Utah","96,921","95,076","93,022"
"Santa Clara city, Utah","7,595","7,914","8,123"
"Santaquin city, Utah","13,899","15,365","16,898"
"Saratoga Springs city, Utah","38,290","44,120","49,354"
"Scipio town, Utah",355,359,366
"Scofield town, Utah",25,25,26
"Sigurd town, Utah",406,416,422
"Smithfield city, Utah","13,678","14,065","14,425"
"Snowville town, Utah",163,164,161
"South Jordan city, Utah","77,950","80,102","83,513"
"South Ogden city, Utah","17,496","17,554","17,716"
"South Salt Lake city, Utah","26,712","26,032","26,003"
"South Weber city, Utah","7,971","8,147","8,124"
"Spanish Fork city, Utah","42,733","43,816","44,102"
"Spring City city, Utah",948,974,993
"Springdale town, Utah",523,556,576
"Springville city, Utah","35,332","36,140","35,832"
"Sterling town, Utah",277,284,289
"Stockton town, Utah",619,623,623
"Sunset city, Utah","5,465","5,512","5,372"
"Syracuse city, Utah","32,379","33,390","35,561"
"Tabiona town, Utah",150,151,153
"Taylorsville city, Utah","60,367","59,251","57,879"
"Tooele city, Utah","36,030","37,226","38,588"
"Toquerville city, Utah","1,886","1,935","1,960"
"Torrey town, Utah",240,248,257
"Tremonton city, Utah","9,967","10,497","11,840"
"Trenton town, Utah",513,517,521
"Tropic town, Utah",490,494,505
"Uintah town, Utah","1,456","1,444","1,422"
"Vernal city, Utah","10,089","10,207","10,432"
"Vernon town, Utah",258,275,286
"Vineyard town, Utah","12,905","14,011","14,535"
"Virgin town, Utah",670,690,697
"Wales town, Utah",340,349,357
"Wallsburg town, Utah",291,301,297
"Washington city, Utah","28,636","30,982","32,709"
"Washington Terrace city, Utah","9,256","9,287","9,160"
"Wellington city, Utah","1,616","1,607","1,625"
"Wellsville city, Utah","4,097","4,116","4,137"
"Wendover city, Utah","1,121","1,130","1,135"
"West Bountiful city, Utah","5,946","5,977","5,888"
"West Haven city, Utah","17,192","19,832","22,395"
"West Jordan city, Utah","117,024","116,544","116,664"
"West Point city, Utah","11,060","11,456","11,892"
"West Valley City city, Utah","139,967","139,065","136,650"
"White City metro township, Utah","5,523","5,522","5,598"
"Willard city, Utah","1,993","2,119","2,224"
"Woodland Hills city, Utah","1,527","1,554","1,553"
"Woodruff town, Utah",169,176,177
"Woods Cross city, Utah","11,478","11,669","11,487"
